date,product_id,type,attr,from,to
2025-10-08,1118,new,farah_product_id,15316600979843,
2025-10-08,1119,new,farah_product_id,15316600947075,
2025-10-08,1120,new,farah_product_id,15316600881539,
2025-10-08,1041,reactivated,end_date,2025-09-03,
2025-10-08,1041,change,description," Description Get ready for the season with the Callier Overshirt, our new hopsack shirt. This is a heritage fabric for us at Farah, so you may recognize it from it's use across our archive through to our modern collections. The shirt features a clean, straight hem and a partially concealed button placket for a streamlined look. The sleeves have a wide, slightly blouson shape with a single pleat for a relaxed fit and feel. Long Sleeve Partially Concealed Button Placket Straight Hem Embroidered Gold F Fit Relaxed Fit Designed With A Looser Fit To Offer A Perfect Layering Option. Composition And Care 100% Cotton Archive Inspired Hopsack Facrication Machine Wash "," Description Get ready for the season with the Callier Overshirt, our new hopsack shirt. This is a heritage fabric for us at Farah, so you may recognize it from it's use across our archive through to our modern collections. The shirt features a clean, straight hem and a button placket for a streamlined look. The sleeves have a wide, slightly blouson shape with a single pleat for a relaxed fit and feel. Long Sleeve Straight Hem Embroidered Gold F Fit Relaxed Fit Designed With A Looser Fit To Offer A Perfect Layering Option. Composition And Care 100% Cotton Archive Inspired Hopsack Fabcrication Machine Wash "
2025-10-08,1041,change,farah_published_date,2025-08-13,2025-10-07
2025-10-08,1053,reactivated,end_date,2025-09-03,
2025-10-08,1053,change,description," Description Get ready for the season with the Callier Overshirt, our new hopsack shirt. This is a heritage fabric for us at Farah, so you may recognize it from it's use across our archive through to our modern collections. The shirt features a clean, straight hem and a partially concealed button placket for a streamlined look. The sleeves have a wide, slightly blouson shape with a single pleat for a relaxed fit and feel. Long Sleeve Partially Concealed Button Placket Straight Hem Embroidered Gold F Fit Relaxed Fit Designed With A Looser Fit To Offer A Perfect Layering Option. Composition And Care 100% Cotton Archive Inspired Hopsack Facrication Machine Wash "," Description Get ready for the season with the Callier Overshirt, our new hopsack shirt. This is a heritage fabric for us at Farah, so you may recognize it from it's use across our archive through to our modern collections. The shirt features a clean, straight hem and a button placket for a streamlined look. The sleeves have a wide, slightly blouson shape with a single pleat for a relaxed fit and feel. Long Sleeve Straight Hem Embroidered Gold F Fit Relaxed Fit Designed With A Looser Fit To Offer A Perfect Layering Option. Composition And Care 100% Cotton Archive Inspired Hopsack Fabcrication Machine Wash "
2025-10-08,1053,change,farah_published_date,2025-08-13,2025-10-07
2025-10-08,1118,new-price,price,,100.00
2025-10-08,1119,new-price,price,,130.00
2025-10-08,1120,new-price,price,,100.00
