date,product_id,type,attr,from,to
2026-09-04,1200,reactivated,end_date,2026-09-03,
2026-09-04,1200,change,farah_published_date,2026-01-21,2026-09-03
2026-09-04,1054,reactivated,end_date,2026-07-16,
2026-09-04,1054,change,farah_published_date,2025-08-13,2026-09-03
2026-09-04,736,change,farah_published_date,2025-07-28,2026-09-03
2026-09-04,735,reactivated,end_date,2026-09-03,
2026-09-04,735,change,farah_published_date,2024-09-24,2026-09-03
2026-09-04,734,change,farah_published_date,2024-09-24,2026-09-03
2026-09-04,1319,reactivated,end_date,2026-09-03,
2026-09-04,1319,change,farah_published_date,2026-08-11,2026-09-03
2026-09-04,1308,reactivated,end_date,2026-09-03,
2026-09-04,1308,change,farah_published_date,2026-05-18,2026-09-03
2026-09-04,1141,change,farah_published_date,2025-12-02,2026-09-03
2026-09-04,1058,reactivated,end_date,2026-07-19,
2026-09-04,1058,change,farah_published_date,2025-08-13,2026-09-03
2026-09-04,1067,reactivated,end_date,2026-07-16,
2026-09-04,1067,change,farah_published_date,2025-08-20,2026-09-03
2026-09-04,1154,reactivated,end_date,2026-08-31,
2026-09-04,1154,change,farah_published_date,2025-12-02,2026-09-03
2026-09-04,1153,reactivated,end_date,2026-08-27,
2026-09-04,1153,change,farah_published_date,2025-12-02,2026-09-03
2026-09-04,1204,reactivated,end_date,2026-09-03,
2026-09-04,1204,change,farah_published_date,2026-01-21,2026-09-03
2026-09-04,1217,reactivated,end_date,2026-08-24,
2026-09-04,1217,change,farah_published_date,2026-01-21,2026-09-03
2026-09-04,1220,reactivated,end_date,2026-07-26,
2026-09-04,1220,change,farah_published_date,2026-07-24,2026-09-03
2026-09-04,1196,reactivated,end_date,2026-09-03,
2026-09-04,1240,reactivated,end_date,2026-09-03,
2026-09-04,1240,change,farah_published_date,2026-01-28,2026-09-03
2026-09-04,1235,reactivated,end_date,2026-09-03,
2026-09-04,1235,change,farah_published_date,2026-01-21,2026-09-03
