date,product_id,type,attr,from,to
2025-07-03,597,reactivated,end_date,2025-02-28,
2025-07-03,597,change,description," 100% Recycled Polyester Regular Fit Model Is 6'2"" And Wears Size Medium Embroidered Farah Logo Machine Wash Show Less "," 100% Recycled Polyester Regular Fit Model Is 6'2"" And Wears Size Medium Embroidered Farah Logo Machine Wash --> Description External Drawcord Internal Mesh Lining Two Side Pockets Back Patch Pocket With Velcro Fastening Embroidered Gold F Fit Regular Fit Compostition And Care 100% Recycled Polyester Machine Wash At 30C "
2025-07-03,597,change,farah_published_date,2024-05-08,2025-07-02
2025-07-03,930,reactivated,end_date,2025-04-29,
2025-07-03,930,change,rrp,,40
2025-07-03,930,change,farah_published_date,2025-02-05,2025-07-02
2025-07-03,930,new-price,price,40.00,28.00
