date,product_id,type,attr,from,to
2024-03-23,128,reactivated,end_date,2024-03-21,
2024-03-23,128,change,description," 100% Organic Cotton Canvas Relaxed Fit Long Sleeve Button Down Front Button Down Collar Button Cuffs Chest Pockets Model Is 6'1"" And Wears Size Medium Machine Wash According To Instructions On Care Label Shop the Organic Collection Here "," 100% Organic Cotton Canvas Relaxed Fit Long Sleeve Button Down Front Button Down Collar Button Cuffs Chest Pockets Model Is 6'1"" And Wears Size Medium Machine Wash Shop the Organic Collection Here "
2024-03-23,128,change,farah_published_date,2024-02-03,2024-03-22
