date,product_id,type,attr,from,to
2026-05-20,1206,change,description," Description Made from 100% organic cotton, you’re guaranteed to feel as good as you look when you put on our Stacy tee. The regular fit with short sleeves combines comfort with functionality, without compromising style. It’s the details that make this a must-have piece; the jersey fabrication, the set-in collar, the twin needle finish to the cuff and hem, and the mitred stitch patch pocket on the chest. All finished off with iconic Farah tab branding. Short Sleeve Box Fit. Designed With A Relaxed Fit And Minimal Tapering For A Modern, Casual Style. Jersey Fabrication For Soft, Breathable Comfort Heavier Weight Cotton For A Premium Feel Set-In Collar Twin Needle Finish To Cuffs And Hem Mitered Stitch Patch Pocket On The Chest Iconic Farah Tab Branding Fit Box Composition And Care 100% Organic Cotton Machine Wash "," Description Made from 100% organic cotton, you’re guaranteed to feel as good as you look when you put on our Stacy tee. The regular fit with short sleeves combines comfort with functionality, without compromising style. It’s the details that make this a must-have piece; the jersey fabrication, the set-in collar, the twin needle finish to the cuff and hem, and the mitred stitch patch pocket on the chest. All finished off with iconic Farah tab branding. Short Sleeve Heavier Weight Cotton For A Premium Feel Set-In Collar Twin Needle Finish To Cuffs And Hem Mitered Stitch Patch Pocket On The Chest Iconic Farah Tab Branding Fit Box Fit Designed With A Relaxed Fit And Minimal Tapering For A Modern, Casual Style. Composition And Care 100% Organic Cotton Jersey Fabrication For Soft, Breathable Comfort Machine Wash "
2026-05-20,1207,change,description," Description Made from 100% organic cotton, you’re guaranteed to feel as good as you look when you put on our Stacy tee. The regular fit with short sleeves combines comfort with functionality, without compromising style. It’s the details that make this a must-have piece; the jersey fabrication, the set-in collar, the twin needle finish to the cuff and hem, and the mitred stitch patch pocket on the chest. All finished off with iconic Farah tab branding. Short Sleeve Box Fit. Designed With A Relaxed Fit And Minimal Tapering For A Modern, Casual Style. Jersey Fabrication For Soft, Breathable Comfort Heavier Weight Cotton For A Premium Feel Set-In Collar Twin Needle Finish To Cuffs And Hem Mitered Stitch Patch Pocket On The Chest Iconic Farah Tab Branding Fit Box Composition And Care 100% Organic Cotton Machine Wash "," Description Made from 100% organic cotton, you’re guaranteed to feel as good as you look when you put on our Stacy tee. The regular fit with short sleeves combines comfort with functionality, without compromising style. It’s the details that make this a must-have piece; the jersey fabrication, the set-in collar, the twin needle finish to the cuff and hem, and the mitred stitch patch pocket on the chest. All finished off with iconic Farah tab branding. Short Sleeve Heavier Weight Cotton For A Premium Feel Set-In Collar Twin Needle Finish To Cuffs And Hem Mitered Stitch Patch Pocket On The Chest Iconic Farah Tab Branding Fit Box Fit Designed With A Relaxed Fit And Minimal Tapering For A Modern, Casual Style. Composition And Care 100% Organic Cotton Jersey Fabrication For Soft, Breathable Comfort Machine Wash "
