date,product_id,type,attr,from,to
2026-09-25,776,change,rrp,90.00,85
2026-09-25,1431,new,farah_product_id,16229126111619,
2026-09-25,1432,new,farah_product_id,16230595527043,
2026-09-25,1433,new,farah_product_id,16230595887491,
2026-09-25,782,reactivated,end_date,2025-08-14,
2026-09-25,782,change,farah_published_date,2025-07-31,2026-09-24
2026-09-25,782,change,rrp,90.00,85
2026-09-25,782,change,description," Every cold-weather wardrobe needs knitwear. Our Mullen crew neck sweater is a must-have addition to your daily rotation. Without compromising comfort for style, this piece is made with a 12-gauge flat knit construction, and knitted rib cuffs, collar and hem. All finished off with the iconic embroidered golden F branding. 100% Merino Wool Slim Fit Crew Neck Premium Fabrication That's Made In Italy 12 Gauge Flatknit Construction Knitted Rib Cuffs, Collar And Hem Embroidered Gold F Branding Model Is 6'2"" And Wears Size Medium Hand Wash "," Description Experience unparalleled comfort and refined style with the Mullen Merino Wool Sweater from Farah. Crafted from luxuriously soft and breathable Merino wool, known for its exceptional warmth-to-weight ratio and natural temperature-regulating properties, this fine gauge knit provides a premium feel that's perfect for all seasons. Designed with a timeless silhouette, the Mullen features a classic crew neckline and long sleeves. The ribbed cuffs and hem provide a neat finish and ensure a comfortable, secure fit. It's subtly completed with the iconic embroidered Farah 'F' logo on the chest. Crew Neck Premium Fabrication That's Made In Italy Knitted Rib Cuffs, Collar And Hem Embroidered Gold F Fit Slim Fit Designed To Fit Closer To The Body Offering A Modern, Tailored Silhouette. Composition And Care 100% Merino Wool 12 Gauge Flat Knit Construction Hand Wash "
2026-09-25,1080,new-price,price,40.00,20.00
2026-09-25,1040,new-price,price,95.00,47.50
2026-09-25,1042,new-price,price,95.00,47.50
2026-09-25,1041,new-price,price,90.00,45.00
2026-09-25,1053,new-price,price,90.00,45.00
2026-09-25,1071,new-price,price,80.00,48.00
2026-09-25,764,new-price,price,70.00,35.00
2026-09-25,776,new-price,price,45.00,85.00
2026-09-25,1292,new-price,price,90.00,45.00
2026-09-25,1293,new-price,price,60.00,30.00
2026-09-25,1294,new-price,price,45.00,22.50
2026-09-25,1295,new-price,price,65.00,39.00
2026-09-25,1296,new-price,price,80.00,40.00
2026-09-25,1297,new-price,price,60.00,30.00
2026-09-25,1265,new-price,price,30.00,18.00
2026-09-25,1266,new-price,price,40.00,20.00
2026-09-25,1267,new-price,price,75.00,37.50
2026-09-25,1269,new-price,price,50.00,25.00
2026-09-25,1298,new-price,price,40.00,24.00
2026-09-25,1272,new-price,price,80.00,40.00
2026-09-25,1273,new-price,price,65.00,32.50
2026-09-25,1274,new-price,price,75.00,37.50
2026-09-25,248,new-price,price,70.00,49.00
2026-09-25,1431,new-price,price,,85.00
2026-09-25,1432,new-price,price,,90.00
2026-09-25,1433,new-price,price,,90.00
2026-09-25,1276,new-price,price,30.00,15.00
2026-09-25,1279,new-price,price,80.00,40.00
2026-09-25,1307,new-price,price,75.00,37.50
2026-09-25,1280,new-price,price,65.00,32.50
2026-09-25,1281,new-price,price,50.00,25.00
2026-09-25,1299,new-price,price,60.00,30.00
2026-09-25,1282,new-price,price,75.00,37.50
2026-09-25,1284,new-price,price,30.00,18.00
2026-09-25,1300,new-price,price,60.00,30.00
2026-09-25,1285,new-price,price,65.00,32.50
2026-09-25,1286,new-price,price,50.00,25.00
2026-09-25,1287,new-price,price,45.00,22.50
2026-09-25,1288,new-price,price,75.00,37.50
2026-09-25,1289,new-price,price,50.00,25.00
2026-09-25,1290,new-price,price,30.00,18.00
2026-09-25,1291,new-price,price,40.00,20.00
2026-09-25,782,new-price,price,36.00,85.00
2026-09-25,1283,new-price,price,75.00,37.50
2026-09-25,1308,new-price,price,90.00,54.00
