date,product_id,type,attr,from,to
2024-07-12,521,change,farah_published_date,2024-07-07,2024-07-11
2024-07-12,551,change,rrp,48.00,45
2024-07-12,341,change,name,Brewer Slim Fit Check Organic Cotton Oxford Shirt In Saxe Farah GWQ,Brewer Slim Fit Check Organic Cotton Oxford Shirt
2024-07-12,341,change,description," The Farah Brewer Slim Fit Oxford shirt is an essential, modern menswear classic. Constructed in an Oxford-weave and made from 100% organic cotton, the long sleeve, slim-fit design details a traditional button-down collar with our signature gold Farah logo at the left chest. Farah GWQ 100% Organic Cotton Slim Fit Long Sleeve Button Down Front Button Cuffs Oxford Weave Curved Hem Embroidered Golf F Branding Model Is 6'2"" And Wears Size Medium Machine Wash Shop The Organic Collection Here Show Less "," The Farah Brewer Slim Fit Oxford shirt is an essential, modern menswear classic. Constructed in an Oxford-weave and made from 100% organic cotton, the long sleeve, slim-fit design details a traditional button-down collar with our signature gold Farah logo at the left chest. 100% Organic Cotton Slim Fit Long Sleeve Button Down Front Button Cuffs Oxford Weave Curved Hem Embroidered Golf F Branding Model Is 6'2"" And Wears Size Medium Machine Wash Shop The Organic Collection Here Show Less "
2024-07-12,560,reactivated,end_date,2024-07-09,
2024-07-12,560,change,farah_published_date,2024-03-07,2024-07-11
2024-07-12,483,new-price,price,24.00,21.00
