date,product_id,type,attr,from,to
2025-02-19,676,change,farah_published_date,2024-08-14,2025-02-18
2025-02-19,626,change,farah_published_date,2024-05-08,2025-02-18
2025-02-19,628,change,farah_published_date,2024-05-08,2025-02-18
2025-02-19,694,change,farah_published_date,2024-08-22,2025-02-18
2025-02-19,413,change,farah_published_date,2024-11-21,2025-02-18
2025-02-19,488,change,farah_published_date,2024-02-14,2025-02-18
2025-02-19,81,change,farah_published_date,2021-01-18,2025-02-18
2025-02-19,306,change,farah_published_date,2022-01-24,2025-02-18
2025-02-19,95,change,farah_published_date,2023-01-18,2025-02-18
2025-02-19,266,change,farah_published_date,2023-07-05,2025-02-18
2025-02-19,605,change,farah_published_date,2024-05-08,2025-02-18
2025-02-19,615,change,farah_published_date,2024-05-08,2025-02-18
2025-02-19,603,change,farah_published_date,2024-05-08,2025-02-18
2025-02-19,738,change,farah_published_date,2024-09-24,2025-02-18
2025-02-19,680,change,farah_published_date,2024-08-14,2025-02-18
2025-02-19,590,change,farah_published_date,2024-04-05,2025-02-18
2025-02-19,721,change,farah_published_date,2024-08-28,2025-02-18
2025-02-19,745,change,farah_published_date,2024-09-24,2025-02-18
2025-02-19,630,change,farah_published_date,2024-05-08,2025-02-18
2025-02-19,602,change,farah_published_date,2024-05-08,2025-02-18
2025-02-19,725,change,farah_published_date,2024-08-29,2025-02-18
2025-02-19,751,change,farah_published_date,2024-09-24,2025-02-18
2025-02-19,520,change,farah_published_date,2024-12-11,2025-02-18
2025-02-19,535,change,farah_published_date,2024-02-27,2025-02-18
2025-02-19,665,change,farah_published_date,2024-08-14,2025-02-18
2025-02-19,720,change,farah_published_date,2024-08-28,2025-02-18
2025-02-19,243,change,farah_published_date,2023-12-06,2025-02-18
2025-02-19,386,change,farah_published_date,2023-07-04,2025-02-18
2025-02-19,601,change,farah_published_date,2024-05-08,2025-02-18
2025-02-19,697,change,farah_published_date,2024-08-22,2025-02-18
2025-02-19,699,change,farah_published_date,2024-08-22,2025-02-18
2025-02-19,701,change,farah_published_date,2024-08-22,2025-02-18
2025-02-19,604,change,farah_published_date,2024-05-08,2025-02-18
2025-02-19,664,change,farah_published_date,2024-08-14,2025-02-18
2025-02-19,611,change,farah_published_date,2024-05-08,2025-02-18
2025-02-19,503,change,farah_published_date,2024-02-16,2025-02-18
2025-02-19,613,change,farah_published_date,2024-05-08,2025-02-18
2025-02-19,614,change,farah_published_date,2024-05-08,2025-02-18
2025-02-19,706,change,farah_published_date,2024-08-22,2025-02-18
2025-02-19,690,change,farah_published_date,2024-08-17,2025-02-18
2025-02-19,788,change,farah_published_date,2024-12-04,2025-02-18
2025-02-19,739,change,farah_published_date,2024-09-24,2025-02-18
2025-02-19,99,change,farah_published_date,2024-12-09,2025-02-18
2025-02-19,607,change,farah_published_date,2024-05-08,2025-02-18
2025-02-19,67,change,farah_published_date,2023-12-15,2025-02-18
2025-02-19,674,change,farah_published_date,2024-08-14,2025-02-18
2025-02-19,621,change,farah_published_date,2024-05-08,2025-02-18
2025-02-19,489,change,farah_published_date,2024-02-14,2025-02-18
2025-02-19,672,change,farah_published_date,2024-08-14,2025-02-18
2025-02-19,744,change,farah_published_date,2024-09-24,2025-02-18
2025-02-19,454,change,farah_published_date,2024-02-02,2025-02-18
2025-02-19,589,change,farah_published_date,2024-04-05,2025-02-18
2025-02-19,90,change,farah_published_date,2023-07-05,2025-02-18
2025-02-19,723,change,farah_published_date,2024-08-29,2025-02-18
2025-02-19,616,change,farah_published_date,2024-05-08,2025-02-18
2025-02-19,622,change,farah_published_date,2024-05-08,2025-02-18
2025-02-19,681,change,farah_published_date,2024-08-14,2025-02-18
2025-02-19,627,change,farah_published_date,2024-08-02,2025-02-18
2025-02-19,679,change,farah_published_date,2024-08-14,2025-02-18
2025-02-19,606,change,farah_published_date,2024-05-08,2025-02-18
2025-02-19,700,change,farah_published_date,2024-08-22,2025-02-18
2025-02-19,504,change,farah_published_date,2024-02-16,2025-02-18
2025-02-19,678,change,farah_published_date,2024-08-14,2025-02-18
2025-02-19,631,change,farah_published_date,2024-05-08,2025-02-18
2025-02-19,551,change,farah_published_date,2024-03-07,2025-02-18
2025-02-19,116,change,farah_published_date,2024-12-11,2025-02-18
2025-02-19,57,change,farah_published_date,2024-12-11,2025-02-18
2025-02-19,158,change,farah_published_date,2024-10-09,2025-02-18
2025-02-19,406,change,farah_published_date,2024-12-11,2025-02-18
2025-02-19,691,change,farah_published_date,2024-08-21,2025-02-18
2025-02-19,594,change,farah_published_date,2024-04-15,2025-02-18
2025-02-19,598,change,farah_published_date,2024-05-08,2025-02-18
2025-02-19,592,change,farah_published_date,2024-04-15,2025-02-18
