date,product_id,type,attr,from,to
2025-07-08,650,reactivated,end_date,2024-07-04,
2025-07-08,650,change,description, 100% Cotton Slim Fit Short Sleeve ," 100% Cotton Slim Fit Short Sleeve Ribbed Crew Neck Embroidered Gold F Branding Model Is 6'2"" And Wears Size Medium Machine Wash "
2025-07-08,650,change,farah_published_date,2024-07-02,2025-07-07
2025-07-08,649,reactivated,end_date,2024-07-04,
2025-07-08,649,change,farah_published_date,2024-07-02,2025-07-07
2025-07-08,650,new-price,price,21.00,15.00
2025-07-08,649,new-price,price,24.00,17.00
