date,product_id,type,attr,from,to
2025-07-17,891,reactivated,end_date,2025-07-04,
2025-07-17,891,change,farah_published_date,2025-01-22,2025-07-16
2025-07-17,923,new-price,price,49.00,42.00
2025-07-17,877,new-price,price,52.50,45.00
2025-07-17,950,new-price,price,28.00,24.00
2025-07-17,922,new-price,price,49.00,42.00
2025-07-17,543,new-price,price,22.50,19.00
2025-07-17,386,new-price,price,45.00,37.50
2025-07-17,916,new-price,price,42.00,35.00
2025-07-17,853,new-price,price,45.00,37.50
2025-07-17,531,new-price,price,48.00,40.00
2025-07-17,400,new-price,price,25.00,21.00
2025-07-17,547,new-price,price,22.50,19.00
2025-07-17,532,new-price,price,48.00,40.00
2025-07-17,250,new-price,price,45.00,37.50
2025-07-17,545,new-price,price,25.00,21.00
2025-07-17,915,new-price,price,42.00,35.00
2025-07-17,546,new-price,price,22.50,19.00
2025-07-17,95,new-price,price,42.00,35.00
2025-07-17,254,new-price,price,45.00,37.50
2025-07-17,905,new-price,price,19.00,16.00
2025-07-17,897,new-price,price,19.00,16.00
2025-07-17,854,new-price,price,45.00,37.50
2025-07-17,898,new-price,price,52.50,45.00
2025-07-17,884,new-price,price,19.00,16.00
2025-07-17,930,new-price,price,28.00,24.00
2025-07-17,863,new-price,price,70.00,60.00
2025-07-17,909,new-price,price,45.00,37.50
2025-07-17,903,new-price,price,45.00,37.50
2025-07-17,388,new-price,price,19.00,16.00
