date,product_id,type,attr,from,to
2025-06-29,388,change,rrp,30.00,32
2025-06-29,547,change,rrp,35.00,38
2025-06-29,911,change,rrp,30.00,32
2025-06-29,545,change,rrp,40.00,42
2025-06-29,258,change,rrp,30.00,32
2025-06-29,546,change,rrp,35.00,38
2025-06-29,897,change,rrp,30.00,32
2025-06-29,884,change,rrp,30.00,32
2025-06-29,301,change,rrp,30.00,32
2025-06-29,905,change,rrp,30.00,32
2025-06-29,543,change,rrp,35.00,38
2025-06-29,859,reactivated,end_date,2025-06-28,
2025-06-29,859,change,farah_published_date,2025-05-20,2025-06-28
2025-06-29,400,change,rrp,40.00,42
2025-06-29,388,new-price,price,30.00,32.00
2025-06-29,547,new-price,price,35.00,38.00
2025-06-29,911,new-price,price,30.00,32.00
2025-06-29,545,new-price,price,40.00,42.00
2025-06-29,258,new-price,price,30.00,32.00
2025-06-29,546,new-price,price,35.00,38.00
2025-06-29,897,new-price,price,30.00,32.00
2025-06-29,884,new-price,price,30.00,32.00
2025-06-29,301,new-price,price,30.00,32.00
2025-06-29,905,new-price,price,30.00,32.00
2025-06-29,543,new-price,price,35.00,38.00
2025-06-29,400,new-price,price,40.00,42.00
