date,product_id,type,attr,from,to
2024-05-09,597,new,farah_product_id,7407122546787,
2024-05-09,598,new,farah_product_id,7407122579555,
2024-05-09,599,new,farah_product_id,7407122612323,
2024-05-09,600,new,farah_product_id,7407122677859,
2024-05-09,601,new,farah_product_id,7407122776163,
2024-05-09,602,new,farah_product_id,7407122808931,
2024-05-09,603,new,farah_product_id,7407122874467,
2024-05-09,604,new,farah_product_id,7407122907235,
2024-05-09,605,new,farah_product_id,7407122940003,
2024-05-09,606,new,farah_product_id,7407123005539,
2024-05-09,607,new,farah_product_id,7407123038307,
2024-05-09,608,new,farah_product_id,7277098860643,
2024-05-09,609,new,farah_product_id,7381067858019,
2024-05-09,610,new,farah_product_id,7381071134819,
2024-05-09,611,new,farah_product_id,7381154070627,
2024-05-09,612,new,farah_product_id,7381679505507,
2024-05-09,613,new,farah_product_id,7381783904355,
2024-05-09,614,new,farah_product_id,7403940184163,
2024-05-09,615,new,farah_product_id,7403940216931,
2024-05-09,616,new,farah_product_id,7403940249699,
2024-05-09,617,new,farah_product_id,7403940282467,
2024-05-09,618,new,farah_product_id,7403940315235,
2024-05-09,619,new,farah_product_id,7403940348003,
2024-05-09,620,new,farah_product_id,7403940413539,
2024-05-09,621,new,farah_product_id,7403940479075,
2024-05-09,622,new,farah_product_id,7403940511843,
2024-05-09,623,new,farah_product_id,7403940577379,
2024-05-09,624,new,farah_product_id,7403940642915,
2024-05-09,625,new,farah_product_id,7403940675683,
2024-05-09,626,new,farah_product_id,7403940708451,
2024-05-09,627,new,farah_product_id,7403940806755,
2024-05-09,628,new,farah_product_id,7403940839523,
2024-05-09,629,new,farah_product_id,7403940872291,
2024-05-09,630,new,farah_product_id,7407122448483,
2024-05-09,631,new,farah_product_id,7407122514019,
2024-05-09,597,new-price,price,,45.00
2024-05-09,598,new-price,price,,45.00
2024-05-09,599,new-price,price,,42.00
2024-05-09,600,new-price,price,,42.00
2024-05-09,601,new-price,price,,42.00
2024-05-09,602,new-price,price,,75.00
2024-05-09,603,new-price,price,,75.00
2024-05-09,604,new-price,price,,75.00
2024-05-09,605,new-price,price,,85.00
2024-05-09,606,new-price,price,,75.00
2024-05-09,607,new-price,price,,45.00
2024-05-09,608,new-price,price,,38.00
2024-05-09,609,new-price,price,,32.00
2024-05-09,610,new-price,price,,32.00
2024-05-09,611,new-price,price,,32.00
2024-05-09,612,new-price,price,,32.00
2024-05-09,613,new-price,price,,38.00
2024-05-09,614,new-price,price,,70.00
2024-05-09,615,new-price,price,,55.00
2024-05-09,616,new-price,price,,70.00
2024-05-09,617,new-price,price,,70.00
2024-05-09,618,new-price,price,,80.00
2024-05-09,619,new-price,price,,70.00
2024-05-09,620,new-price,price,,75.00
2024-05-09,621,new-price,price,,75.00
2024-05-09,622,new-price,price,,70.00
2024-05-09,623,new-price,price,,70.00
2024-05-09,624,new-price,price,,80.00
2024-05-09,625,new-price,price,,55.00
2024-05-09,626,new-price,price,,55.00
2024-05-09,627,new-price,price,,75.00
2024-05-09,628,new-price,price,,75.00
2024-05-09,629,new-price,price,,80.00
2024-05-09,630,new-price,price,,65.00
2024-05-09,631,new-price,price,,45.00
