date,product_id,type,attr,from,to
2024-10-19,629,new-price,price,56.00,40.00
2024-10-19,618,new-price,price,56.00,40.00
2024-10-19,588,new-price,price,52.00,37.00
2024-10-19,624,new-price,price,56.00,40.00
2024-10-19,608,new-price,price,26.00,19.00
2024-10-19,606,new-price,price,45.00,37.00
2024-10-19,602,new-price,price,52.00,37.00
2024-10-19,613,new-price,price,26.00,19.00
2024-10-19,626,new-price,price,38.00,27.00
2024-10-19,615,new-price,price,38.00,27.00
2024-10-19,535,new-price,price,52.00,37.00
2024-10-19,597,new-price,price,31.00,22.00
