date,product_id,type,attr,from,to
2026-05-27,869,reactivated,end_date,2026-05-07,
2026-05-27,869,change,farah_published_date,2025-09-23,2026-05-26
2026-05-27,1310,change,description," Rooted in timeless sophistication, Farah’s The Original Fragrance is designed for the modern man who carries himself with effortless confidence. This contemporary take on the traditional fougère style masterfully balances crisp freshness and rich depth to deliver a scent with undeniable character. 100ml Gold ‘F’ signature Top Notes: Bergamot, Mandarin, Geranium, Olibanum Oil. Heart Notes: Lavender Sprigs, Amber. Base Notes: Earthy Moss, Patchouli, Amber, Musk. "," Rooted in timeless sophistication, Farah’s The Original Fragrance is designed for the modern man who carries himself with effortless confidence. This contemporary take on the traditional style masterfully balances crisp freshness and rich depth to deliver a scent with undeniable character. 100ml Gold ‘F’ signature Top Notes: Bergamot, Mandarin, Geranium, Olibanum Oil. Heart Notes: Lavender Sprigs, Amber. Base Notes: Earthy Moss, Patchouli, Amber, Musk. "
