date,product_id,type,attr,from,to
2024-03-29,98,reactivated,end_date,2024-03-07,
2024-03-29,98,change,description,"The Farah Brewer Oxford shirt is an essential, modern menswear classic. Constructed in an Oxford-weave and made from 100% organic cotton, the long sleeve, slim-fit design details a traditional button-down collar with our signature gold Farah logo at the left chest. 100% Organic Cotton Slim Fit Long Sleeve Button Down Front Button Cuffs Oxford Weave Curved Hem Embroidered Golf F Branding Model Is 6'2"" And Wears Size Medium Machine Wash According To Instructions On Care Label Shop The Organic Collection Here ","The Farah Brewer Oxford shirt is an essential, modern menswear classic. Constructed in an Oxford-weave and made from 100% organic cotton, the long sleeve, slim-fit design details a traditional button-down collar with our signature gold Farah logo at the left chest. 100% Organic Cotton Slim Fit Long Sleeve Button Down Front Button Cuffs Oxford Weave Curved Hem Embroidered Golf F Branding Model Is 6'2"" And Wears Size Medium Machine Wash Shop The Organic Collection Here "
2024-03-29,98,change,farah_published_date,2023-07-05,2024-03-28
2024-03-29,584,new,farah_product_id,7165587521635,
2024-03-29,585,new,farah_product_id,7165587587171,
2024-03-29,586,new,farah_product_id,7165587652707,
2024-03-29,395,reactivated,end_date,2024-03-08,
2024-03-29,395,change,description," The Farah Brewer Oxford shirt is an essential, modern menswear classic. Constructed in an Oxford-weave and made from 100% organic cotton, the long sleeve, slim-fit design details a traditional button-down collar with our signature gold Farah logo at the left chest. Available in 11 core plus seasonal colours. 100% Organic Cotton Casual Fit Long Sleeve Button Down Front Button Down Collar Button Cuffs Embroidered Farah Logo Model Is 6'1"" And Wears Size Medium Machine Wash According To Instructions On Care Label Shop the Organic Collection Here "," The Farah Brewer Oxford shirt is an essential, modern menswear classic. Constructed in an Oxford-weave and made from 100% organic cotton, the long sleeve, slim-fit design details a traditional button-down collar with our signature gold Farah logo at the left chest. Available in 11 core plus seasonal colours. 100% Organic Cotton Casual Fit Long Sleeve Button Down Front Button Down Collar Button Cuffs Embroidered Farah Logo Model Is 6'1"" And Wears Size Medium Machine Wash Shop the Organic Collection Here "
2024-03-29,395,change,farah_published_date,2023-11-13,2024-03-28
2024-03-29,584,new-price,price,,75.00
2024-03-29,585,new-price,price,,70.00
2024-03-29,586,new-price,price,,75.00
