date,product_id,type,attr,from,to
2025-01-17,749,reactivated,end_date,2025-01-01,
2025-01-17,749,change,farah_published_date,2024-09-24,2025-01-16
2025-01-17,726,reactivated,end_date,2025-01-12,
2025-01-17,726,change,farah_published_date,2024-08-30,2025-01-16
2025-01-17,441,reactivated,end_date,2024-12-17,
2025-01-17,441,change,name,Mullen Cotton Crew Neck Jumper In Dark Pink,Mullen Cotton Crew Neck Sweater In Dark Pink
2025-01-17,441,change,description," The Mullen Cotton Crew Neck Jumper is made from 100% organic cotton, providing a slim fit and comfortable wear. The ribbed neck, cuffs, and hem offer a classic yet practical design, making it a versatile and eco-conscious addition to any wardrobe. 100% Organic Cotton Slim Fit Crew Neck Ribbed Neck, Cuffs And Hem Embroidered Farah Logo Machine Wash "," The Mullen Cotton Crew Neck Jumper is made from 100% organic cotton, providing a slim fit and comfortable wear. The ribbed neck, cuffs, and hem offer a classic yet practical design, making it a versatile and eco-conscious addition to any wardrobe. 100% Organic Cotton Slim Fit Crew Neck 12 Gauge Flatknit Construction Knitted Rib Cuffs, Collar And Hem Embroidered Gold F Model Is 6'2"" And Wears Size Medium Machine Wash "
2025-01-17,441,change,farah_published_date,2024-12-11,2025-01-16
2025-01-17,799,reactivated,end_date,2025-01-14,
2025-01-17,799,change,farah_published_date,2025-01-09,2025-01-16
