date,product_id,type,attr,from,to
2024-03-08,365,change,description," 70% Cotton / 30% Nylon Regular Fit V-Neck Five Button Placket V-Neck Design Model Is 6'2"" And Wears Size Medium Machine Wash "," 70% Cotton / 30% Polyamide Regular Fit V-Neck Five Button Placket V-Neck Design Model Is 6'2"" And Wears Size Medium Machine Wash "
2024-03-08,539,new,farah_product_id,6656581959779,
2024-03-08,540,new,farah_product_id,6750957011043,
2024-03-08,541,new,farah_product_id,6974826774627,
2024-03-08,542,new,farah_product_id,6674657771619,
2024-03-08,543,new,farah_product_id,7109724504163,
2024-03-08,368,change,description," 100% Recycled Nylon Regular Fit Water Resistant Zip And Press-Stud Fastening Hooded With Drawcords Side Pockets Chest Pockets Model Is 6'1"" And Wears Size Medium Machine Wash "," 100% Recycled Polyamide Regular Fit Water Resistant Zip And Press-Stud Fastening Hooded With Drawcords Side Pockets Chest Pockets Model Is 6'1"" And Wears Size Medium Machine Wash "
2024-03-08,544,new,farah_product_id,7184703881315,
2024-03-08,545,new,farah_product_id,7109724405859,
2024-03-08,546,new,farah_product_id,7109724438627,
2024-03-08,547,new,farah_product_id,7109724471395,
2024-03-08,548,new,farah_product_id,7184703979619,
2024-03-08,549,new,farah_product_id,7109724536931,
2024-03-08,550,new,farah_product_id,7184703848547,
2024-03-08,551,new,farah_product_id,7165583917155,
2024-03-08,552,new,farah_product_id,7184704012387,
2024-03-08,132,change,description," 55% Acrylic / 25% Wool / 20% Nylon Relaxed Fit Crew Neck Textured Knit Inspired By Original 90’s Knitwear Ribbed Collar Cuffs And Hem Exclusive Model Label Branding Gold F Branding Model Is 6'2"" And Wears Size M Machine Wash According To Instructions On Care Label "," 55% Acrylic / 25% Wool / 20% Polyamide Relaxed Fit Crew Neck Textured Knit Inspired By Original 90’s Knitwear Ribbed Collar Cuffs And Hem Exclusive Model Label Branding Gold F Branding Model Is 6'2"" And Wears Size M Machine Wash According To Instructions On Care Label "
2024-03-08,32,change,description," 56% Wool / 39% Polyester / 2% Acrylic / 2% Nylon / 1% Viscose Regular Fit Press-Stud Placket Side Pockets Elasticated Channel Waistband Model Is 6'1"" And Wears Size Medium Professionally Clean Only "," 56% Wool / 39% Polyester / 2% Acrylic / 2% Polyamide / 1% Viscose Regular Fit Press-Stud Placket Side Pockets Elasticated Channel Waistband Model Is 6'1"" And Wears Size Medium Professionally Clean Only "
2024-03-08,467,change,description," 100% Recycled Nylon Regular Fit Water Resistant Drawstring Hood Front Chest Pockets Sleeve Pocket Internal Pocket Zip And Press-Stud Fastening Farah Logo At Sleeve Model Is 6'1"" And Wears Size Medium Machine Wash According To Instructions On Care Label "," 100% Recycled Polyamide Regular Fit Water Resistant Drawstring Hood Front Chest Pockets Sleeve Pocket Internal Pocket Zip And Press-Stud Fastening Farah Logo At Sleeve Model Is 6'1"" And Wears Size Medium Machine Wash According To Instructions On Care Label "
2024-03-08,553,new,farah_product_id,7165584703587,
2024-03-08,554,new,farah_product_id,7165584146531,
2024-03-08,331,change,description, 61% Wool / 36% Nylon / 3% Elastane Regular Fit Crew Neck Long Sleeve Ribbed Collar Cuffs And Hem Embroidered Farah Logo Model Is 6'2 And Wears Size Medium Professionally Clean Only , 61% Wool / 36% Polyamide / 3% Elastane Regular Fit Crew Neck Long Sleeve Ribbed Collar Cuffs And Hem Embroidered Farah Logo Model Is 6'2 And Wears Size Medium Professionally Clean Only 
2024-03-08,555,new,farah_product_id,7165584375907,
2024-03-08,556,new,farah_product_id,7165583949923,
2024-03-08,557,new,farah_product_id,7165584015459,
2024-03-08,558,new,farah_product_id,7165584638051,
2024-03-08,559,new,farah_product_id,7165584277603,
2024-03-08,321,change,description, 61% Wool / 36% Nylon / 3% Elastane Regular Fit Crew Neck Long Sleeve Ribbed Collar Cuffs And Hem Embroidered Farah Logo Model Is 6'2 And Wears Size Medium Professionally Clean Only , 61% Wool / 36% Polyamide / 3% Elastane Regular Fit Crew Neck Long Sleeve Ribbed Collar Cuffs And Hem Embroidered Farah Logo Model Is 6'2 And Wears Size Medium Professionally Clean Only 
2024-03-08,560,new,farah_product_id,7165584048227,
2024-03-08,561,new,farah_product_id,7165584474211,
2024-03-08,562,new,farah_product_id,7165584506979,
2024-03-08,539,new-price,price,,45.00
2024-03-08,540,new-price,price,,27.50
2024-03-08,541,new-price,price,,25.00
2024-03-08,542,new-price,price,,72.50
2024-03-08,543,new-price,price,,38.00
2024-03-08,544,new-price,price,,65.00
2024-03-08,545,new-price,price,,42.00
2024-03-08,546,new-price,price,,38.00
2024-03-08,547,new-price,price,,38.00
2024-03-08,548,new-price,price,,65.00
2024-03-08,549,new-price,price,,38.00
2024-03-08,550,new-price,price,,65.00
2024-03-08,551,new-price,price,,45.00
2024-03-08,552,new-price,price,,65.00
2024-03-08,553,new-price,price,,40.00
2024-03-08,554,new-price,price,,70.00
2024-03-08,555,new-price,price,,65.00
2024-03-08,556,new-price,price,,45.00
2024-03-08,557,new-price,price,,45.00
2024-03-08,558,new-price,price,,40.00
2024-03-08,559,new-price,price,,65.00
2024-03-08,560,new-price,price,,45.00
2024-03-08,561,new-price,price,,40.00
2024-03-08,562,new-price,price,,40.00
