date,product_id,type,attr,from,to
2024-08-03,627,reactivated,end_date,2024-06-23,
2024-08-03,627,change,farah_published_date,2024-06-06,2024-08-02
2024-08-03,661,new,farah_product_id,6618965278819,
2024-08-03,447,reactivated,end_date,2024-03-12,
2024-08-03,447,change,farah_published_date,2024-02-01,2024-08-02
2024-08-03,447,change,description," The Heydon Print Short Sleeve Polo Shirt offers a comfortable and breathable fit. Its geometric print adds a touch of subtle style, while the contrast collar and sleeve cuffs create a refined look. 100% Cotton Regular Fit Short Sleeve Geometric Print Contrast Collar Contrast Sleeve Cuffs Three Button Placket Embroidered Farah Logo Machine Wash According To Instructions On Care Label "," The Heydon Print Short Sleeve Polo Shirt offers a comfortable and breathable fit. Its geometric print adds a touch of subtle style, while the contrast collar and sleeve cuffs create a refined look. 100% Cotton Regular Fit Short Sleeve Geometric Print Contrast Collar Contrast Sleeve Cuffs Three Button Placket Embroidered Farah Logo Machine Wash "
2024-08-03,521,reactivated,end_date,2024-08-02,
2024-08-03,521,change,farah_published_date,2024-07-31,2024-08-02
2024-08-03,661,new-price,price,,75.00
