date,product_id,type,attr,from,to
2024-08-16,686,new,farah_product_id,7184703684707,
2024-08-16,687,new,farah_product_id,7184703783011,
2024-08-16,544,change,description," 100% Organic Cotton Crew Neck Slim Fit Ribbed Neck, Cuffs And Hem Embroidered Farah Logo Machine Wash "," Expertly crafted from organic cotton, the Tim Sweatshirt features a premium loopback jersey fabrication for ultimate comfort. The ribbed collar with chain-stitched rib reinforcement adds durability, while the ribbed cuffs and hem provide a snug fit. Finished with an embroidered Farah logo, this sweatshirt is a must-have for any wardrobe. 100% Organic Cotton Slim Fit Crew Neck Premium Organic Cotton Loopback Jersey Fabrication Set In Rib Collar With Chain-Stitched Rib Reinforcement Ribbed Cuffs And Hem Embroidered Farah Logo Machine Wash Shop The Organic Collection Here "
2024-08-16,688,new,farah_product_id,7600745906275,
2024-08-16,689,new,farah_product_id,7600745939043,
2024-08-16,523,change,description," Crafted from 100% organic cotton, the Tim Crew Neck Sweatshirt blends style and sustainability. The slim fit design offers a sleek silhouette, while the ribbed neck, cuffs, and hem provide a comfortable and classic fit. 100% Organic Cotton Slim Fit Crew Neck Ribbed Neck, Cuffs And Hem Embroidered Farah Logo Machine Wash "," Expertly crafted from organic cotton, the Tim Sweatshirt features a premium loopback jersey fabrication for ultimate comfort. The ribbed collar with chain-stitched rib reinforcement adds durability, while the ribbed cuffs and hem provide a snug fit. Finished with an embroidered Farah logo, this sweatshirt is a must-have for any wardrobe. 100% Organic Cotton Slim Fit Crew Neck Premium Organic Cotton Loopback Jersey Fabrication Set In Rib Collar With Chain-Stitched Rib Reinforcement Ribbed Cuffs And Hem Embroidered Farah Logo Machine Wash Shop The Organic Collection Here "
2024-08-16,552,change,description," 100% Organic Cotton Slim Fit Crew Neck 100% Organic Cotton Ribbed Neck, Cuffs And Hem Embroidered Farah Logo Machine Wash "," Expertly crafted from organic cotton, the Tim Sweatshirt features a premium loopback jersey fabrication for ultimate comfort. The ribbed collar with chain-stitched rib reinforcement adds durability, while the ribbed cuffs and hem provide a snug fit. Finished with an embroidered Farah logo, this sweatshirt is a must-have for any wardrobe. 100% Organic Cotton Slim Fit Crew Neck Premium Organic Cotton Loopback Jersey Fabrication Set In Rib Collar With Chain-Stitched Rib Reinforcement Ribbed Cuffs And Hem Embroidered Farah Logo Machine Wash Shop The Organic Collection Here "
2024-08-16,394,change,description," 100% Organic Cotton Slim Fit Crew Neck Long Sleeve Ribbed Collar, Cuffs And Hem Embroidered Farah Logo Model Is 6'2 And Wears Size Medium Machine Wash "," Expertly crafted from organic cotton, the Tim Sweatshirt features a premium loopback jersey fabrication for ultimate comfort. The ribbed collar with chain-stitched rib reinforcement adds durability, while the ribbed cuffs and hem provide a snug fit. Finished with an embroidered Farah logo, this sweatshirt is a must-have for any wardrobe. 100% Organic Cotton Slim Fit Crew Neck Premium Organic Cotton Loopback Jersey Fabrication Set In Rib Collar With Chain-Stitched Rib Reinforcement Ribbed Cuffs And Hem Embroidered Farah Logo Machine Wash Shop The Organic Collection Here "
2024-08-16,529,change,description," 100% Organic Cotton Slim Fit Crew Neck Ribbed Neck, Cuffs And Hem Embroidered Farah Logo Machine Wash "," Expertly crafted from organic cotton, the Tim Sweatshirt features a premium loopback jersey fabrication for ultimate comfort. The ribbed collar with chain-stitched rib reinforcement adds durability, while the ribbed cuffs and hem provide a snug fit. Finished with an embroidered Farah logo, this sweatshirt is a must-have for any wardrobe. 100% Organic Cotton Slim Fit Crew Neck Premium Organic Cotton Loopback Jersey Fabrication Set In Rib Collar With Chain-Stitched Rib Reinforcement Ribbed Cuffs And Hem Embroidered Farah Logo Machine Wash Shop The Organic Collection Here "
2024-08-16,223,change,description,"A long sleeve, slim-fit, crew neck, the Farah Tim sweatshirt comes in a timeless Wreath Green and is made from 100% organic cotton. Detailing includes a ribbed collar, hem and cuffs and our signature gold Farah logo at the left chest. 100% Organic Cotton Slim Fit Crew Neck Ribbed Collar, Cuffs And Hem Gold F Branding Model Is 6'2"" And Wears Size M Machine Wash Shop The Organic Collection Here Show Less "," Expertly crafted from organic cotton, the Tim Sweatshirt features a premium loopback jersey fabrication for ultimate comfort. The ribbed collar with chain-stitched rib reinforcement adds durability, while the ribbed cuffs and hem provide a snug fit. Finished with an embroidered Farah logo, this sweatshirt is a must-have for any wardrobe. 100% Organic Cotton Slim Fit Crew Neck Premium Organic Cotton Loopback Jersey Fabrication Set In Rib Collar With Chain-Stitched Rib Reinforcement Ribbed Cuffs And Hem Embroidered Farah Logo Machine Wash Shop The Organic Collection Here "
2024-08-16,530,change,description, 100% Organic Cotton Slim Fit Crew Neck Long Sleeve Embroidered Farah Logo Model Is 6'2 And Wears Size Medium Machine Wash ," Expertly crafted from organic cotton, the Tim Sweatshirt features a premium loopback jersey fabrication for ultimate comfort. The ribbed collar with chain-stitched rib reinforcement adds durability, while the ribbed cuffs and hem provide a snug fit. Finished with an embroidered Farah logo, this sweatshirt is a must-have for any wardrobe. 100% Organic Cotton Slim Fit Crew Neck Premium Organic Cotton Loopback Jersey Fabrication Set In Rib Collar With Chain-Stitched Rib Reinforcement Ribbed Cuffs And Hem Embroidered Farah Logo Machine Wash Shop The Organic Collection Here "
2024-08-16,313,change,description," 100% Organic Cotton Slim Fit Crew Neck Long Sleeve Ribbed Collar, Cuffs And Hem Embroidered Farah Logo Model Is 6'2 And Wears Size Medium Machine Wash "," Expertly crafted from organic cotton, the Tim Sweatshirt features a premium loopback jersey fabrication for ultimate comfort. The ribbed collar with chain-stitched rib reinforcement adds durability, while the ribbed cuffs and hem provide a snug fit. Finished with an embroidered Farah logo, this sweatshirt is a must-have for any wardrobe. 100% Organic Cotton Slim Fit Crew Neck Premium Organic Cotton Loopback Jersey Fabrication Set In Rib Collar With Chain-Stitched Rib Reinforcement Ribbed Cuffs And Hem Embroidered Farah Logo Machine Wash Shop The Organic Collection Here "
2024-08-16,521,reactivated,end_date,2024-08-15,
2024-08-16,521,change,farah_published_date,2024-08-13,2024-08-15
