date,product_id,type,attr,from,to
2025-06-27,920,change,rrp,,55
2025-06-27,891,change,rrp,,60
2025-06-27,958,change,rrp,,100
2025-06-27,889,change,rrp,,75
2025-06-27,955,change,rrp,,60
2025-06-27,921,change,rrp,,75
2025-06-27,963,change,rrp,,75
2025-06-27,964,change,rrp,,85
2025-06-27,886,change,rrp,,90
2025-06-27,856,change,rrp,,80
2025-06-27,988,change,rrp,,45
2025-06-27,853,change,rrp,,75
2025-06-27,864,change,rrp,,80
2025-06-27,861,change,rrp,,80
2025-06-27,938,change,rrp,,80
2025-06-27,949,change,rrp,,40
2025-06-27,924,change,rrp,,70
2025-06-27,876,change,rrp,,65
2025-06-27,879,change,rrp,,70
2025-06-27,934,change,rrp,,75
2025-06-27,870,change,rrp,,70
2025-06-27,954,change,rrp,,60
2025-06-27,888,change,rrp,,70
2025-06-27,972,change,rrp,,65
2025-06-27,927,change,rrp,,85
2025-06-27,919,change,rrp,,42
2025-06-27,906,change,rrp,,70
2025-06-27,987,change,rrp,,45
2025-06-27,865,change,rrp,,85
2025-06-27,883,change,rrp,,70
2025-06-27,903,change,rrp,,75
2025-06-27,869,change,rrp,,80
2025-06-27,908,change,rrp,,75
2025-06-27,258,change,rrp,32.00,30
2025-06-27,901,change,rrp,,65
2025-06-27,872,change,rrp,,42
2025-06-27,989,change,rrp,,40
2025-06-27,892,change,rrp,,45
2025-06-27,990,change,rrp,,40
2025-06-27,547,change,rrp,38.00,35
2025-06-27,884,change,rrp,,30
2025-06-27,543,change,rrp,38.00,35
2025-06-27,388,change,rrp,32.00,30
2025-06-27,545,change,rrp,42.00,40
2025-06-27,974,change,rrp,,40
2025-06-27,984,change,rrp,,75
2025-06-27,899,change,rrp,,55
2025-06-27,911,change,rrp,,30
2025-06-27,970,change,rrp,,75
2025-06-27,973,change,rrp,,55
2025-06-27,983,change,rrp,,60
2025-06-27,978,change,rrp,,75
2025-06-27,976,change,rrp,,80
2025-06-27,962,change,rrp,,75
2025-06-27,979,change,rrp,,80
2025-06-27,929,change,rrp,,70
2025-06-27,909,change,rrp,,75
2025-06-27,950,change,rrp,,40
2025-06-27,933,change,rrp,,80
2025-06-27,939,change,rrp,,75
2025-06-27,873,change,rrp,,48
2025-06-27,953,change,rrp,,70
2025-06-27,910,change,rrp,,85
2025-06-27,926,change,rrp,,85
2025-06-27,890,change,rrp,,65
2025-06-27,863,change,rrp,,100
2025-06-27,948,change,rrp,,45
2025-06-27,918,change,rrp,,38
2025-06-27,881,change,rrp,,40
2025-06-27,907,change,rrp,,38
2025-06-27,882,change,rrp,,70
2025-06-27,894,change,rrp,,40
2025-06-27,944,change,rrp,,40
2025-06-27,940,change,rrp,,45
2025-06-27,943,change,rrp,,45
2025-06-27,937,change,rrp,,40
2025-06-27,917,change,rrp,,75
2025-06-27,916,change,rrp,,70
2025-06-27,969,change,rrp,,55
2025-06-27,914,change,rrp,,30
2025-06-27,922,change,rrp,,70
2025-06-27,546,change,rrp,38.00,35
2025-06-27,945,change,rrp,,50
2025-06-27,980,change,rrp,,75
2025-06-27,857,change,rrp,,75
2025-06-27,885,change,rrp,,55
2025-06-27,913,change,rrp,,60
2025-06-27,961,change,rrp,,75
2025-06-27,935,change,rrp,,45
2025-06-27,893,change,rrp,,40
2025-06-27,981,change,rrp,,48
2025-06-27,982,change,rrp,,50
2025-06-27,966,change,rrp,,40
2025-06-27,967,change,rrp,,60
2025-06-27,992,change,rrp,,32
2025-06-27,977,change,rrp,,32
2025-06-27,946,change,rrp,,50
2025-06-27,947,change,rrp,,50
2025-06-27,991,change,rrp,,75
2025-06-27,301,change,rrp,32.00,30
2025-06-27,960,change,rrp,,32
2025-06-27,968,change,rrp,,50
2025-06-27,897,change,rrp,,30
2025-06-27,905,change,rrp,,30
2025-06-27,994,change,rrp,,40
2025-06-27,975,change,rrp,,75
2025-06-27,915,change,rrp,,70
2025-06-27,858,change,rrp,,75
2025-06-27,952,change,rrp,,40
2025-06-27,956,change,rrp,,90
2025-06-27,898,change,rrp,,75
2025-06-27,971,change,rrp,,80
2025-06-27,859,change,rrp,,75
2025-06-27,400,change,rrp,42.00,40
2025-06-27,985,change,rrp,,40
2025-06-27,986,change,rrp,,75
2025-06-27,902,change,rrp,,60
2025-06-27,965,change,rrp,,75
2025-06-27,959,change,rrp,,65
2025-06-27,868,change,rrp,,75
2025-06-27,851,change,rrp,,75
2025-06-27,932,change,rrp,,65
2025-06-27,923,change,rrp,,70
2025-06-27,941,change,rrp,,65
2025-06-27,854,change,rrp,,75
2025-06-27,258,new-price,price,32.00,30.00
2025-06-27,547,new-price,price,38.00,35.00
2025-06-27,884,new-price,price,32.00,30.00
2025-06-27,543,new-price,price,38.00,35.00
2025-06-27,388,new-price,price,32.00,30.00
2025-06-27,545,new-price,price,42.00,40.00
2025-06-27,911,new-price,price,32.00,30.00
2025-06-27,914,new-price,price,32.00,30.00
2025-06-27,546,new-price,price,38.00,35.00
2025-06-27,301,new-price,price,32.00,30.00
2025-06-27,897,new-price,price,32.00,30.00
2025-06-27,905,new-price,price,32.00,30.00
2025-06-27,400,new-price,price,42.00,40.00
