date,product_id,type,attr,from,to
2024-11-16,61,change,rrp,50.00,65
2024-11-16,89,change,rrp,85.00,100
2024-11-16,768,change,rrp,70.00,75
2024-11-16,62,change,rrp,50.00,65
2024-11-16,413,reactivated,end_date,2024-11-12,
2024-11-16,413,change,farah_published_date,2024-10-03,2024-11-15
2024-11-16,64,change,rrp,50.00,65
2024-11-16,781,change,rrp,75.00,90
2024-11-16,445,new-price,price,21.00,16.00
2024-11-16,61,new-price,price,60.00,65.00
2024-11-16,474,new-price,price,40.00,32.00
2024-11-16,228,new-price,price,22.00,18.00
2024-11-16,479,new-price,price,19.00,15.00
2024-11-16,589,new-price,price,32.00,26.00
2024-11-16,587,new-price,price,52.00,37.00
2024-11-16,119,new-price,price,27.00,22.00
2024-11-16,607,new-price,price,22.00,18.00
2024-11-16,590,new-price,price,32.00,26.00
2024-11-16,428,new-price,price,30.00,24.00
2024-11-16,622,new-price,price,35.00,28.00
2024-11-16,612,new-price,price,22.00,16.00
2024-11-16,628,new-price,price,45.00,37.00
2024-11-16,610,new-price,price,16.00,12.00
2024-11-16,621,new-price,price,45.00,37.00
2024-11-16,530,new-price,price,32.00,26.00
2024-11-16,588,new-price,price,37.00,30.00
2024-11-16,456,new-price,price,42.00,34.00
2024-11-16,360,new-price,price,21.00,15.00
2024-11-16,478,new-price,price,19.00,15.00
2024-11-16,779,new-price,price,45.00,55.00
2024-11-16,611,new-price,price,22.00,16.00
2024-11-16,602,new-price,price,37.00,30.00
2024-11-16,565,new-price,price,40.00,32.00
2024-11-16,561,new-price,price,20.00,16.00
2024-11-16,558,new-price,price,20.00,16.00
2024-11-16,440,new-price,price,30.00,24.00
2024-11-16,630,new-price,price,32.00,26.00
2024-11-16,618,new-price,price,40.00,32.00
2024-11-16,554,new-price,price,35.00,28.00
2024-11-16,629,new-price,price,40.00,32.00
2024-11-16,596,new-price,price,37.00,30.00
2024-11-16,473,new-price,price,27.00,22.00
2024-11-16,490,new-price,price,40.00,32.00
2024-11-16,504,new-price,price,42.00,34.00
2024-11-16,496,new-price,price,42.00,34.00
2024-11-16,599,new-price,price,29.00,21.00
2024-11-16,475,new-price,price,40.00,32.00
2024-11-16,601,new-price,price,21.00,16.00
2024-11-16,93,new-price,price,35.00,28.00
2024-11-16,617,new-price,price,35.00,28.00
2024-11-16,619,new-price,price,35.00,28.00
2024-11-16,623,new-price,price,35.00,28.00
2024-11-16,597,new-price,price,22.00,18.00
2024-11-16,615,new-price,price,27.00,22.00
2024-11-16,631,new-price,price,22.00,18.00
2024-11-16,627,new-price,price,37.00,30.00
2024-11-16,598,new-price,price,22.00,18.00
2024-11-16,608,new-price,price,19.00,15.00
2024-11-16,164,new-price,price,30.00,24.00
2024-11-16,624,new-price,price,40.00,32.00
2024-11-16,614,new-price,price,49.00,35.00
2024-11-16,131,new-price,price,17.00,14.00
2024-11-16,223,new-price,price,32.00,26.00
2024-11-16,497,new-price,price,37.00,30.00
2024-11-16,35,new-price,price,32.00,26.00
2024-11-16,62,new-price,price,60.00,65.00
2024-11-16,444,new-price,price,37.00,30.00
2024-11-16,509,new-price,price,40.00,32.00
2024-11-16,498,new-price,price,40.00,32.00
2024-11-16,609,new-price,price,16.00,12.00
2024-11-16,519,new-price,price,37.00,30.00
2024-11-16,605,new-price,price,42.00,34.00
2024-11-16,525,new-price,price,35.00,28.00
2024-11-16,494,new-price,price,42.00,34.00
2024-11-16,158,new-price,price,35.00,28.00
2024-11-16,625,new-price,price,38.00,27.00
2024-11-16,503,new-price,price,40.00,32.00
2024-11-16,620,new-price,price,45.00,37.00
2024-11-16,613,new-price,price,19.00,15.00
2024-11-16,507,new-price,price,37.00,30.00
2024-11-16,626,new-price,price,27.00,22.00
2024-11-16,603,new-price,price,37.00,30.00
2024-11-16,523,new-price,price,32.00,26.00
2024-11-16,430,new-price,price,35.00,28.00
2024-11-16,508,new-price,price,40.00,32.00
2024-11-16,551,new-price,price,22.00,18.00
2024-11-16,499,new-price,price,35.00,28.00
2024-11-16,535,new-price,price,37.00,30.00
2024-11-16,606,new-price,price,37.00,30.00
2024-11-16,71,new-price,price,40.00,32.00
2024-11-16,511,new-price,price,40.00,32.00
2024-11-16,436,new-price,price,21.00,16.00
2024-11-16,585,new-price,price,35.00,28.00
2024-11-16,39,new-price,price,32.00,26.00
2024-11-16,449,new-price,price,21.00,16.00
2024-11-16,439,new-price,price,40.00,32.00
2024-11-16,454,new-price,price,37.00,30.00
2024-11-16,616,new-price,price,35.00,28.00
2024-11-16,553,new-price,price,20.00,16.00
2024-11-16,500,new-price,price,37.00,30.00
2024-11-16,557,new-price,price,22.00,18.00
2024-11-16,64,new-price,price,60.00,65.00
2024-11-16,386,new-price,price,37.00,30.00
2024-11-16,586,new-price,price,37.00,30.00
2024-11-16,67,new-price,price,40.00,32.00
2024-11-16,398,new-price,price,24.00,19.00
2024-11-16,313,new-price,price,32.00,26.00
